Date;Close/Last;Volume;Open;High;Low;Close/Last;Volume;Open;High;Low;Close/Last;Open;High;Low
2021-04-15;51.64;17869820;51.76;51.94;51.37;259.5;25627480;257.931;259.93;257.73;4170.42;4139.76;4173.49;4139.76
2021-04-14;51.37;15376590;51.51;51.68;51.14;255.59;23070940;257.475;258.83;255.16;4124.66;4143.25;4151.69;4120.87
2021-04-13;51.66;13353170;51.64;51.88;51.34;258.49;23837470;257.257;259.19;256.83;4141.59;4130.1;4148;4124.43
2021-04-12;51.57;16441730;52.07;52.16;51.47;255.91;27148670;254.71;257.67;254.62;4127.99;4124.71;4131.76;4114.82
2021-04-09;52.09;13135750;51.83;52.15;51.675;255.85;24326830;252.87;255.99;252.44;4128.8;4096.11;4129.48;4095.51
2021-04-08;51.91;15111250;51.94;52;51.45;253.25;23625200;252.77;254.139;252;4097.17;4089.95;4098.19;4082.54
2021-04-07;51.77;15783650;52.01;52.14;51.58;249.9;22719840;247.81;250.93;247.19;4079.95;4074.29;4083.13;4068.31
2021-04-06;52.025;15126110;51.98;52.22;51.78;247.86;22931920;247.61;249.4;246.88;4073.94;4075.57;4086.23;4068.14
2021-04-05;52.41;19860910;51.628;52.92;51.628;249.07;36910610;242.76;249.96;242.7;4077.91;4034.44;4083.42;4034.44
2021-04-01;51.98;17896170;51.75;52.07;51.35;242.35;30337980;238.47;242.84;238.0501;4019.87;3992.78;4020.63;3992.78
2021-03-31;51.71;22212380;51.83;52.05;51.545;235.77;43623470;232.91;239.1;232.39;3972.89;3967.25;3994.41;3966.98
2021-03-30;51.77;22465100;52.11;52.29;51.175;231.85;24792010;233.525;233.85;231.1;3958.55;3963.34;3968.01;3944.35
2021-03-29;52.52;25032760;52.4008;52.9399;52.28;235.24;25227460;236.59;236.8;231.88;3971.09;3969.31;3981.83;3943.25
2021-03-26;52.57;31996950;50.6;52.64;50.56;236.48;25479850;231.55;236.71;231.55;3974.54;3917.12;3978.19;3917.12
2021-03-25;50.51;34537720;50.575;51.4;50.285;232.34;34061850;235.3;236.94;231.57;3909.52;3879.34;3919.54;3853.5
2021-03-24;49.65;26444740;49.94;50.4454;49.62;235.46;25620130;237.845;238;235.32;3889.14;3919.93;3942.08;3889.07
2021-03-23;50.01;28328170;50.02;50.68;49.9;237.58;31638380;237.485;241.05;237.07;3910.52;3937.6;3949.13;3901.57
2021-03-22;50.3;28813880;48.94;50.38;48.94;235.99;30127010;230.27;236.9;230.14;3940.59;3916.48;3955.31;3914.16
2021-03-19;48.98;65366840;48.71;49.22;48.32;230.35;46430730;231.02;232.474;229.3496;3913.1;3913.14;3930.12;3886.75
2021-03-18;48.8;18417640;48.52;49.57;48.515;230.72;34852250;232.56;234.19;230.33;3915.46;3953.5;3969.62;3910.86
2021-03-17;49.42;18326920;49.61;49.61;48.89;237.04;29562100;236.15;238.55;233.23;3974.12;3949.57;3983.87;3935.74
2021-03-16;49.67;17282260;49.19;49.74;49.19;237.71;28092200;236.28;240.055;235.94;3962.71;3973.59;3981.04;3953.44
2021-03-15;49.41;15526110;48.9;49.44;48.9;234.81;26042670;234.96;235.185;231.81;3968.94;3942.96;3970.08;3923.54
2021-03-12;48.82;15196530;48.81;48.99;48.47;235.75;22653660;234.01;235.82;233.23;3943.34;3924.52;3944.99;3915.21
2021-03-11;48.8;21976560;48.51;49.08;48.225;237.13;29907590;234.96;239.17;234.31;3939.34;3915.54;3960.27;3915.54
2021-03-10;48.29;19841510;48.47;48.79;48.19;232.42;29746810;237;237;232.04;3898.81;3891.99;3917.35;3885.73
2021-03-09;47.89;26512660;47.824;48.37;47.72;233.78;33080530;232.88;235.3839;231.67;3875.44;3851.93;3903.76;3851.93
2021-03-08;47.51;34824530;46.24;48.4;46.2;227.39;35267440;231.37;233.365;227.13;3821.35;3844.39;3881.06;3819.25
2021-03-05;46.25;33197580;45.446;46.74;45.27;231.6;41872770;229.517;233.27;226.46;3841.94;3793.58;3851.69;3730.19
2021-03-04;44.56;24653500;45.135;45.47;44.15;226.73;44727790;226.735;232.49;224.26;3768.47;3818.53;3843.67;3723.34
2021-03-03;45.13;16851130;45.43;45.53;45;227.56;34029530;232.155;233.5799;227.26;3819.72;3863.99;3874.47;3818.86
2021-03-02;45.515;14832970;45.931;46.08;45.415;233.87;22812460;237.01;237.3;233.45;3870.29;3903.64;3906.41;3868.57
2021-03-01;45.92;17396070;45.22;46.22;45.22;236.94;25332840;235.9;237.47;233.15;3901.82;3842.51;3914.5;3842.51
2021-02-26;44.87;22144950;45.58;45.78;44.76;232.38;37819230;231.525;235.37;229.54;3811.15;3839.66;3861.08;3789.54
